Variable,Mean,Std,Min,25%,50%,75%,Max
kappa,2.718436151210422,1.352592402987686,0.012263288120395,1.5886858840135738,2.7551938755092653,3.8855175860730338,4.999997055915558
lambda,0.5444918986939145,0.2700821644051658,0.0101186816448639,0.31806961796243816,0.5520899044282823,0.7775645556503501,0.9999968465310668
sigma,0.5212746828333422,0.256675098834208,0.1000012664063792,0.29809368064142255,0.5076064988768364,0.7371423089667153,0.9999877103786384
rho,-0.4750538541975216,0.24534226491225875,-0.8999977224832437,-0.6873881224532565,-0.475135174024219,-0.26265271173798904,-0.0500042648094806
v0,0.5060648573693383,0.2855325800521445,0.0100015539246979,0.25872977019057447,0.5062652282873485,0.7536937052089586,0.9999971257270638
r,0.050475731999760395,0.028566273855678188,0.0010003702920323,0.025762893242957025,0.05044311128951215,0.07521884124073705,0.099999736204445
tau,0.526174676661546,0.27357638221993985,0.0500019475462244,0.28976118724665334,0.5263811123200633,0.7629908445182969,0.9999982347289194
log_K_S0,0.001091655767903198,0.2880426971273413,-0.4999963330355735,-0.24776774776683275,0.001322911578064,0.25054809790769983,0.4999989337005972
iv,0.6902764532932932,0.16343837475887932,0.08719698181758151,0.5804580394210808,0.7095348375453053,0.8177948194656098,1.038615597828335
vega,6.57527916970773,5.1097092138174105,1.5149136325719906e-14,2.278292879257627,5.522058671505306,9.918261345013093,23.812138493586588
d_kappa,0.0019127354432354631,0.010889013161978163,-0.0694543581835399,-0.0023297058484115,0.0003840090794817,0.00469385258828325,0.2291470416037022
d_lambda,0.07442539344998554,0.061882254554078864,-5.717369344732627e-13,0.023761333041690126,0.062384579399592396,0.11061410577618655,0.8073630571454542
d_sigma,-0.006250052559283393,0.009775698743609082,-0.0877106190216415,-0.010583808355753125,-0.0036914125217566,0.00041449211487282504,0.0232351253595725
d_rho,0.004512327764264908,0.009170869330619566,-0.0140689430710762,-0.00164596649360525,0.0018922831947598001,0.008431396069272349,0.0747335355858074
d_v0,0.08604353466913546,0.04819144650726776,-3.155761670156325e-13,0.05595067543925085,0.0775734273097535,0.10696674390330285,0.7910422459570877
